id,name,state_id,country_id
758,Gorham,5,1
759,Groveton,5,1
760,Jefferson,5,1
761,Lancaster,5,1
762,Lisbon,5,1
763,Sugar Hill,5,1
764,Milan,5,1
765,North Stratford,5,1
766,Pittsburg,5,1
767,Randolph,5,1
768,Twin Mountain,5,1
769,West Stewartstown,5,1
770,Whitefield,5,1
771,Acworth,5,1
772,Alstead,5,1
773,Charlestown,5,1
774,Drewsville,5,1
775,Lempster,5,1
776,South Acworth,5,1
777,Walpole,5,1
778,North Walpole,5,1
779,Bath,5,1
780,Canaan,5,1
781,Claremont,5,1
782,Cornish,5,1
783,Enfield,5,1
784,Etna,5,1
785,Georges Mills,5,1
786,Goshen,5,1
787,Grantham,5,1
788,Hanover,5,1
789,Haverhill,5,1
790,Lebanon,5,1
791,Lyme,5,1
792,Meriden,5,1
793,Monroe,5,1
794,Newport,5,1
795,North Haverhill,5,1
796,Orford,5,1
797,Piermont,5,1
798,Pike,5,1
799,Plainfield,5,1
800,Sunapee,5,1
801,West Lebanon,5,1
802,Woodsville,5,1
803,Portsmouth,5,1
804,Alton,5,1
805,Alton Bay,5,1
806,Atkinson,5,1
807,Bartlett,5,1
808,Center Conway,5,1
809,Center Ossipee,5,1
810,Center Tuftonboro,5,1
811,Chocorua,5,1
812,Conway,5,1
813,Danville,5,1
814,Dover,5,1
815,Madbury,5,1
816,Durham,5,1
817,Barrington,5,1
818,East Hampstead,5,1
819,East Kingston,5,1
820,East Wakefield,5,1
821,Eaton Center,5,1
822,Exeter,5,1
823,Farmington,5,1
824,Freedom,5,1
825,Gilmanton Iron Works,5,1
826,Glen,5,1
827,Rochester,5,1
828,Greenland,5,1
829,Hampstead,5,1
830,Hampton,5,1
831,Hampton Falls,5,1
832,Intervale,5,1
833,Jackson,5,1
834,Kearsarge,5,1
835,Kingston,5,1
836,Madison,5,1
837,Melvin Village,5,1
838,Milton,5,1
839,Milton Mills,5,1
840,Mirror Lake,5,1
841,New Castle,5,1
842,New Durham,5,1
843,Newfields,5,1
844,Newmarket,5,1
845,Newton,5,1
846,North Conway,5,1
847,Lee,5,1
848,North Hampton,5,1
849,Ossipee,5,1
850,Plaistow,5,1
851,Rollinsford,5,1
852,Rye,5,1
853,Rye Beach,5,1
854,Sanbornville,5,1
855,Sandown,5,1
856,Seabrook,5,1
857,Silver Lake,5,1
858,Somersworth,5,1
859,Effingham,5,1
860,South Tamworth,5,1
861,Strafford,5,1
862,Stratham,5,1
863,Tamworth,5,1
864,Union,5,1
865,West Ossipee,5,1
866,Wolfeboro,5,1
867,Wonalancet,5,1
868,Berwick,6,1
869,Cape Neddick,6,1
870,Eliot,6,1
871,Kittery,6,1
872,Kittery Point,6,1
873,North Berwick,6,1
874,Ogunquit,6,1
875,South Berwick,6,1
876,York,6,1
877,York Beach,6,1
878,York Harbor,6,1
879,Acton,6,1
880,Alfred,6,1
881,Bailey Island,6,1
882,Biddeford,6,1
883,Biddeford Pool,6,1
884,Bowdoinham,6,1
885,Bridgton,6,1
886,Brownfield,6,1
887,Brunswick,6,1
888,Casco,6,1
889,Chebeague Island,6,1
890,Cliff Island,6,1
891,Cornish,6,1
892,Cumberland Center,6,1
893,Denmark,6,1
894,East Baldwin,6,1
895,Lebanon,6,1
896,Sebago,6,1
897,East Waterboro,6,1
898,Freeport,6,1
899,Fryeburg,6,1
900,Gorham,6,1
901,Gray,6,1
902,Harrison,6,1
903,Hiram,6,1
